kind,object,owner_proposed,packages,reviewer_proposed,source
table,ai_action_proposal_events,A3,O01/O02/X01/R01,A0,beeloft/ai_action_proposals.sql
table,ai_action_proposals,A3,O01/O02/X01/R01,A0,beeloft/ai_action_proposals.sql
table,ai_investigation_actions,A3,O01/O02/X01/R01,A0,beeloft/ai_investigations.sql
table,ai_investigation_feedback,A3,O01/O02/X01/R01,A0,beeloft/ai_investigations.sql
table,ai_investigations,A3,O01/O02/X01/R01,A0,beeloft/ai_investigations.sql
table,audit_events,A3,O01/O02/X01/R01,A0,beeloft/audit_trail.sql
table,balances,A1,M01/P01/P02/P03/H01/H02,A2,beeloft/schema.sql
table,bom_revisions,A1,M01/P01/P02/P03/H01/H02,A2,beeloft/bom.sql
table,browser_sessions,A3,O01/O02/X01/R01,A0,beeloft/browser_sessions.sql
table,bundle_handoff_acceptances,A1,M01/P01/P02/P03/H01/H02,A2,beeloft/bundle_handoffs.sql
table,bundle_handoff_cancellations,A1,M01/P01/P02/P03/H01/H02,A2,beeloft/bundle_handoffs.sql
table,bundle_handoffs,A1,M01/P01/P02/P03/H01/H02,A2,beeloft/bundle_handoffs.sql
table,bundle_reversals,A1,M01/P01/P02/P03/H01/H02,A2,beeloft/bundles.sql
table,bundles,A1,M01/P01/P02/P03/H01/H02,A2,beeloft/bundles.sql
table,cutting_run_reversals,A1,M01/P01/P02/P03/H01/H02,A2,beeloft/cutting.sql
table,cutting_runs,A1,M01/P01/P02/P03/H01/H02,A2,beeloft/cutting.sql
table,final_qc_record_reversals,A1,M01/P01/P02/P03/H01/H02,A2,beeloft/final_qc.sql
table,final_qc_records,A1,M01/P01/P02/P03/H01/H02,A2,beeloft/final_qc.sql
table,finished_goods_adjustment_reversals,A2,M02/I01/B01/B02/S01/S02/A01/A02,A1,beeloft/returns_adjustments.sql
table,finished_goods_adjustments,A2,M02/I01/B01/B02/S01/S02/A01/A02,A1,beeloft/returns_adjustments.sql
table,finished_goods_receipt_reversals,A2,M02/I01/B01/B02/S01/S02/A01/A02,A1,beeloft/finished_goods.sql
